🔧 OBSIDIAN-8 V3 — MASTER BOM (REV D)
Part Name	Supplier / Manufacturer	Quantity	Unit Price	Total Price	Description / Notes
Noctua 40 mm Fans	Noctua	4	$15	$60	Electronics cooling
Aluminum Heat Sinks	Generic	4	$30	$120	CPU / power module cooling
Anderson SB120 Connector	Anderson Power	1	$40	$40	Docking / charging connector
Charging Controller (LiFePO₄)	Generic	1	$120	$120	Docked charging controller
Alignment Guide Rails	Custom Machined	1	$150	$150	Dock alignment guides
Dock Base Plate (Steel / Aluminum)	Custom Fabrication	1	$90	$90	Structural dock plate
Electrical Housing	Custom Fabrication	1	$100	$100	Docked wiring protection
10 AWG Silicone Wire	Generic	50 ft	$90	$90	High-current servo / main power wiring
12 AWG Silicone Wire	Generic	50 ft	$70	$70	Power distribution wiring
18 AWG Wire	Generic	100 ft	$80	$80	Auxiliary / signal wiring
22 AWG Multi-wire	Generic	200 ft	$60	$60	Logic wiring for sensors / boards
XT60 Connectors	Generic	20	$1.50	$30	Quick-disconnects for servo power
XT90 Connectors	Generic	10	$3.50	$35	Battery feed connectors
JST-XH Kit	Generic	1	$25	$25	Sensor wiring harness
Dupont Kit	Generic	1	$20	$20	Logic / board connections
Ferrule Crimp Kit	Generic	1	$40	$40	Professional wire termination
Braided Wire Loom	Generic	100 ft	$50	$50	Cable protection / organization
Heat Shrink Kit	Generic	1	$25	$25	Electrical insulation / finishing

✅ Total Estimated Cost: ~$14,685
